Year,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player,Share
8,Copa del Rey,FC Barcelona,0,0,0,0,0,0,1,0,0,1,Samuel Eto'o,0.0042
8,Champions League,FC Barcelona,0,0,0,0,1,0,0,0,0,1,Samuel Eto'o,0.0042
11,FA Cup,Arsenal FC,0,0,0,0,0,0,2,0,0,2,Cesc Fàbregas,0.0029
11,EFL Cup,Arsenal FC,0,0,0,0,0,0,1,0,0,1,Cesc Fàbregas,0.0029
11,Premier League,Arsenal FC,1,0,0,0,2,0,0,0,0,3,Cesc Fàbregas,0.0029
11,Champions League,Arsenal FC,1,0,0,0,2,0,0,0,0,3,Cesc Fàbregas,0.0029
10,Champions League,Arsenal FC,0,1,1,0,1,0,1,0,0,4,Cesc Fàbregas,0.0022
10,Premier League,Arsenal FC,1,1,3,0,3,2,3,2,0,15,Cesc Fàbregas,0.0022
9,Premier League,Arsenal FC,0,1,0,0,0,1,0,1,0,3,Cesc Fàbregas,0.009
8,Champions League,Arsenal FC,1,1,0,0,1,0,1,0,0,4,Cesc Fàbregas,0.0028
8,Premier League,Arsenal FC,0,0,1,0,1,1,4,0,0,7,Cesc Fàbregas,0.0028
8,Champions League Qu.,Arsenal FC,0,0,0,0,0,1,1,0,0,2,Cesc Fàbregas,0.0028
8,Premier League,Chelsea FC,0,1,2,0,2,0,2,0,0,7,Michael Ballack,0.0028
8,Champions League,Chelsea FC,2,0,0,0,0,0,0,0,0,2,Michael Ballack,0.0028
18,LaLiga,Real Madrid,1,0,0,0,1,0,1,1,,4,Sergio Ramos,0.0014
18,Champions League,Real Madrid,0,0,0,0,0,1,0,0,,1,Sergio Ramos,0.0014
17,LaLiga,Real Madrid,0,0,2,1,1,0,2,1,,7,Sergio Ramos,0.0252
17,Champions League,Real Madrid,0,0,0,0,1,0,0,0,,1,Sergio Ramos,0.0252
17,Copa del Rey,Real Madrid,0,0,0,0,0,0,1,0,,1,Sergio Ramos,0.0252
17,UEFA Super Cup,Real Madrid,0,0,0,0,0,0,0,1,,1,Sergio Ramos,0.0252
16,Champions League,Real Madrid,1,0,0,0,0,0,0,0,,1,Sergio Ramos,0.0
16,LaLiga,Real Madrid,0,2,0,0,0,0,0,0,,2,Sergio Ramos,0.0
14,Champions League,Real Madrid,0,2,0,0,0,0,0,1,,3,Sergio Ramos,0.0033
14,LaLiga,Real Madrid,0,0,1,0,2,1,0,0,,4,Sergio Ramos,0.0033
12,LaLiga,Real Madrid,0,1,1,0,0,1,0,0,,3,Sergio Ramos,0.0022
12,Champions League,Real Madrid,0,0,0,0,0,0,1,0,,1,Sergio Ramos,0.0022
8,LaLiga,Real Madrid,0,2,0,0,0,1,2,0,,5,Sergio Ramos,0.0021
8,Supercopa,Real Madrid,0,0,0,0,0,0,1,0,,1,Sergio Ramos,0.0021
9,Champions League,Manchester United,1,0,0,0,0,0,0,0,,1,Nemanja Vidić,0.0056
9,Premier League,Manchester United,0,0,0,1,2,0,0,1,,4,Nemanja Vidić,0.0056
9,Club World Cup,Manchester United,0,1,0,0,0,0,0,0,,1,Nemanja Vidić,0.0056
9,UEFA Super Cup,Manchester United,0,0,0,0,0,1,0,0,,1,Nemanja Vidić,0.0056
8,Premier League,Manchester United,0,0,0,0,0,0,1,0,,1,Nemanja Vidić,0.0021
12,Super League,Shanghai Shenhua Liansheng,2,1,0,0,0,2,3,0,0,8,Didier Drogba,0.026
12,Champions League,Chelsea FC,1,1,0,1,1,0,2,0,0,6,Didier Drogba,0.026
12,FA Cup,Chelsea FC,0,0,1,0,1,0,0,0,0,2,Didier Drogba,0.026
12,Premier League,Chelsea FC,0,1,1,0,0,2,0,1,0,5,Didier Drogba,0.026
10,FA Cup,Chelsea FC,1,0,0,0,1,1,0,0,0,3,Didier Drogba,0.0168
10,Premier League,Chelsea FC,3,2,7,1,3,6,5,2,0,29,Didier Drogba,0.0168
10,Champions League,Chelsea FC,0,1,0,0,0,0,2,0,0,3,Didier Drogba,0.0168
10,EFL Cup,Chelsea FC,0,0,0,0,1,0,1,0,0,2,Didier Drogba,0.0168
9,FA Cup,Chelsea FC,1,1,0,0,0,0,1,0,0,3,Didier Drogba,0.0229
9,Premier League,Chelsea FC,1,0,0,0,2,1,1,0,0,5,Didier Drogba,0.0229
9,Champions League,Chelsea FC,1,0,0,0,1,2,1,0,0,5,Didier Drogba,0.0229
9,EFL Cup,Chelsea FC,0,1,0,0,0,0,0,0,0,1,Didier Drogba,0.0229
8,Champions League,Chelsea FC,1,1,1,0,1,1,0,0,1,6,Didier Drogba,0.0021
8,Premier League,Chelsea FC,2,0,1,0,2,2,1,0,0,8,Didier Drogba,0.0021
8,EFL Cup,Chelsea FC,0,0,1,0,0,0,0,0,0,1,Didier Drogba,0.0021
8,LaLiga,Real Madrid,2,3,3,0,2,4,2,0,,16,Ruud van Nistelrooy,0.0014
8,Champions League,Real Madrid,1,0,0,0,0,3,0,0,,4,Ruud van Nistelrooy,0.0014
16,LaLiga,FC Barcelona,0,0,0,0,1,0,0,0,,1,Andrés Iniesta,0.0
15,Copa del Rey,FC Barcelona,0,1,1,0,1,0,0,0,,3,Andrés Iniesta,0.0123
14,LaLiga,FC Barcelona,1,1,1,0,0,0,0,0,,3,Andrés Iniesta,0.0067
13,LaLiga,FC Barcelona,0,0,0,0,2,0,1,0,,3,Andrés Iniesta,0.0208
13,Copa del Rey,FC Barcelona,0,0,0,0,1,1,0,0,,2,Andrés Iniesta,0.0208
13,Champions League,FC Barcelona,0,0,1,0,0,0,0,0,,1,Andrés Iniesta,0.0208
12,Champions League,FC Barcelona,1,0,1,0,1,0,0,0,,3,Andrés Iniesta,0.1091
12,LaLiga,FC Barcelona,0,0,2,0,0,0,0,0,,2,Andrés Iniesta,0.1091
12,Copa del Rey,FC Barcelona,0,1,1,0,0,0,0,0,,2,Andrés Iniesta,0.1091
12,Supercopa,FC Barcelona,1,0,0,0,0,0,0,0,,1,Andrés Iniesta,0.1091
11,LaLiga,FC Barcelona,1,2,2,0,2,0,1,0,,8,Andrés Iniesta,0.0601
11,Champions League,FC Barcelona,1,0,0,0,0,0,0,0,,1,Andrés Iniesta,0.0601
10,LaLiga,FC Barcelona,1,0,0,0,0,0,0,0,,1,Andrés Iniesta,0.1736
9,Champions League,FC Barcelona,0,0,0,0,0,0,0,1,,1,Andrés Iniesta,0.1035
9,LaLiga,FC Barcelona,2,0,0,0,0,2,0,0,,4,Andrés Iniesta,0.1035
17,Serie A,AS Roma,7,1,2,0,8,5,6,0,0,29,Edin Džeko,0.0007
17,Europa League,AS Roma,2,0,0,0,0,3,3,0,0,8,Edin Džeko,0.0007
17,Italy Cup,AS Roma,0,0,0,0,1,1,0,0,0,2,Edin Džeko,0.0007
9,Bundesliga,VfL Wolfsburg,3,2,5,0,2,6,8,0,0,26,Edin Džeko,0.0083
9,DFB-Pokal,VfL Wolfsburg,2,1,1,0,1,1,0,0,0,6,Edin Džeko,0.0083
9,UEFA Cup,VfL Wolfsburg,1,1,1,0,1,0,0,0,0,4,Edin Džeko,0.0083
9,Premier League,Manchester United,0,1,0,0,0,1,0,0,0,2,Ryan Giggs,0.0076
9,Champions League,Manchester United,0,0,0,0,0,0,1,0,0,1,Ryan Giggs,0.0076
9,EFL Cup,Manchester United,0,0,0,0,0,0,1,0,0,1,Ryan Giggs,0.0076
9,LaLiga,FC Barcelona,1,5,2,0,2,4,5,0,,19,Thierry Henry,0.0063
9,Champions League,FC Barcelona,1,2,1,0,0,1,0,0,,5,Thierry Henry,0.0063
9,Copa del Rey,FC Barcelona,0,0,1,0,0,0,0,0,,1,Thierry Henry,0.0063
9,Champions League Qu.,FC Barcelona,0,0,0,0,1,0,0,0,,1,Thierry Henry,0.0063
11,LaLiga,Atlético de Madrid,1,1,2,0,0,4,0,0,0,8,Diego Forlán,0.0143
11,Copa del Rey,Atlético de Madrid,1,0,0,0,0,0,0,0,0,1,Diego Forlán,0.0143
11,Europa League,Atlético de Madrid,1,0,0,0,0,0,0,0,0,1,Diego Forlán,0.0143
10,Europa League,Atlético de Madrid,1,0,1,0,1,0,1,0,2,6,Diego Forlán,0.0761
10,LaLiga,Atlético de Madrid,3,5,1,0,3,3,3,0,0,18,Diego Forlán,0.0761
10,Copa del Rey,Atlético de Madrid,0,1,0,0,0,2,0,0,0,3,Diego Forlán,0.0761
10,Champions League Qu.,Atlético de Madrid,0,0,0,0,0,1,0,0,0,1,Diego Forlán,0.0761
9,LaLiga,Atlético de Madrid,2,4,8,0,4,2,10,2,0,32,Diego Forlán,0.0049
9,Champions League,Atlético de Madrid,0,0,0,1,0,0,0,0,0,1,Diego Forlán,0.0049
9,Copa del Rey,Atlético de Madrid,0,0,1,0,0,0,0,0,0,1,Diego Forlán,0.0049
9,Champions League Qu.,Atlético de Madrid,0,0,0,0,1,0,0,0,0,1,Diego Forlán,0.0049
9,Ligue 1,FC Girondins Bordeaux,3,1,1,0,2,3,1,1,,12,Yoann Gourcuff,0.0042
9,Coupe de la Ligue,FC Girondins Bordeaux,0,0,1,0,0,0,0,0,,1,Yoann Gourcuff,0.0042
9,Champions League,FC Girondins Bordeaux,1,1,0,0,0,0,0,0,,2,Yoann Gourcuff,0.0042
10,Champions League,FC Internazionale,0,0,0,0,1,0,0,0,,1,Maicon,0.0057
10,Serie A,FC Internazionale,0,1,0,1,0,3,1,0,,6,Maicon,0.0057
9,Serie A,FC Internazionale,1,1,1,0,0,0,1,0,,4,Maicon,0.0028
9,Champions League,FC Internazionale,1,0,0,0,0,0,0,0,,1,Maicon,0.0028
9,Bundesliga,SV Werder Bremen,1,3,3,0,0,2,3,0,0,12,Diego Ribas da Cunha,0.0021
9,UEFA Cup,SV Werder Bremen,0,2,1,0,1,1,1,0,0,6,Diego Ribas da Cunha,0.0021
9,DFB-Pokal,SV Werder Bremen,1,0,0,0,1,0,0,0,0,2,Diego Ribas da Cunha,0.0021
9,Champions League,SV Werder Bremen,0,0,0,0,0,1,0,0,0,1,Diego Ribas da Cunha,0.0021
9,Premier League,Chelsea FC,0,1,0,0,0,0,0,0,,1,John Terry,0.0014
9,Champions League,Chelsea FC,0,0,0,0,0,1,1,0,,2,John Terry,0.0014
15,Premier League,Manchester City,1,2,0,0,2,2,3,0,,10,Yaya Touré,0.0085
15,Champions League,Manchester City,1,0,0,0,0,0,0,0,,1,Yaya Touré,0.0085
15,EFL Cup,Manchester City,0,0,0,0,1,0,0,0,,1,Yaya Touré,0.0085
14,Premier League,Manchester City,1,3,2,1,5,3,3,2,,20,Yaya Touré,0.0086
14,EFL Cup,Manchester City,0,0,1,0,1,0,1,0,,3,Yaya Touré,0.0086
14,Champions League,Manchester City,0,0,0,0,1,0,0,0,,1,Yaya Touré,0.0086
13,Premier League,Manchester City,0,1,0,0,1,2,2,0,,6,Yaya Touré,0.0099
13,FA Cup,Manchester City,1,0,0,0,0,0,0,0,,1,Yaya Touré,0.0099
13,Champions League,Manchester City,0,1,0,0,0,0,0,0,,1,Yaya Touré,0.0099
13,Community Shield,Manchester City,0,0,0,0,1,0,0,0,,1,Yaya Touré,0.0099
12,Premier League,Manchester City,0,0,1,0,0,3,2,0,,6,Yaya Touré,0.0076
12,Champions League,Manchester City,0,1,0,0,1,1,0,0,,3,Yaya Touré,0.0076
9,Copa del Rey,FC Barcelona,0,0,1,0,0,0,0,0,,1,Yaya Touré,0.0007
9,LaLiga,FC Barcelona,0,0,0,0,0,1,1,0,,2,Yaya Touré,0.0007
11,Serie A,FC Internazionale,1,0,1,0,0,1,0,1,,4,Wesley Sneijder,0.0072
11,Champions League,FC Internazionale,1,0,1,0,0,1,0,0,,3,Wesley Sneijder,0.0072
10,Champions League,FC Internazionale,1,1,0,0,0,0,1,0,,3,Wesley Sneijder,0.1447
10,Serie A,FC Internazionale,0,0,2,0,0,0,1,1,,4,Wesley Sneijder,0.1447
10,Italy Cup,FC Internazionale,0,0,0,0,1,0,0,0,,1,Wesley Sneijder,0.1447
12,LaLiga,Real Madrid,0,0,0,0,0,1,0,0,,1,Xabi Alonso,0.0109
12,Supercopa,Real Madrid,0,0,0,0,1,0,0,0,,1,Xabi Alonso,0.0109
11,Copa del Rey,Real Madrid,0,0,0,0,0,0,1,0,,1,Xabi Alonso,0.0048
10,LaLiga,Real Madrid,0,0,0,0,2,0,1,0,,3,Xabi Alonso,0.0152
10,LaLiga,FC Barcelona,0,0,1,0,0,0,0,0,,1,Carles Puyol,0.0143
13,LaLiga,Real Madrid,0,0,3,0,1,2,1,2,,9,Mesut Özil,0.0071
13,Champions League,Real Madrid,0,0,0,0,0,0,1,0,,1,Mesut Özil,0.0071
12,LaLiga,Real Madrid,0,1,0,0,3,0,0,0,,4,Mesut Özil,0.0041
12,Champions League,Real Madrid,0,1,0,0,1,0,0,0,,2,Mesut Özil,0.0041
12,Supercopa,Real Madrid,1,0,0,0,0,0,0,0,,1,Mesut Özil,0.0041
11,LaLiga,Real Madrid,1,3,1,0,0,1,0,0,,6,Mesut Özil,0.0076
11,Copa del Rey,Real Madrid,1,0,0,0,0,0,2,0,,3,Mesut Özil,0.0076
11,Champions League,Real Madrid,1,0,0,0,0,0,0,0,,1,Mesut Özil,0.0076
10,Bundesliga,SV Werder Bremen,1,1,2,0,2,2,0,1,,9,Mesut Özil,0.0121
10,Europa League Qualifying,SV Werder Bremen,0,0,0,0,0,1,0,0,,1,Mesut Özil,0.0121
15,Bundesliga,Bayern Munich,1,1,3,0,3,4,5,0,0,17,Arjen Robben,0.0029
15,Champions League,Bayern Munich,1,1,0,0,0,0,0,0,0,2,Arjen Robben,0.0029
14,DFB-Pokal,Bayern Munich,1,0,0,0,1,0,1,0,1,4,Arjen Robben,0.0717
14,Bundesliga,Bayern Munich,3,2,0,0,1,2,3,0,0,11,Arjen Robben,0.0717
14,Champions League,Bayern Munich,0,1,0,0,1,1,1,0,0,4,Arjen Robben,0.0717
14,DFL-Supercup,Bayern Munich,0,0,0,0,1,1,0,0,0,2,Arjen Robben,0.0717
13,Champions League,Bayern Munich,0,1,0,0,1,1,1,0,0,4,Arjen Robben,0.0177
13,Bundesliga,Bayern Munich,0,1,1,0,2,0,0,1,0,5,Arjen Robben,0.0177
13,DFB-Pokal,Bayern Munich,0,0,2,0,1,0,1,0,0,4,Arjen Robben,0.0177
10,DFB-Pokal,Bayern Munich,0,0,1,0,1,0,0,0,1,3,Arjen Robben,0.0116
10,Bundesliga,Bayern Munich,1,1,1,0,3,3,6,1,0,16,Arjen Robben,0.0116
10,Champions League,Bayern Munich,0,0,0,1,0,3,0,0,0,4,Arjen Robben,0.0116
16,Bundesliga,Bayern Munich,1,3,6,0,2,4,3,1,0,20,Thomas Müller,0.0
16,DFB-Pokal,Bayern Munich,0,2,1,0,0,1,0,0,0,4,Thomas Müller,0.0
16,Champions League,Bayern Munich,0,2,1,0,2,0,1,2,0,8,Thomas Müller,0.0
15,Champions League,Bayern Munich,1,2,2,0,1,1,0,0,0,7,Thomas Müller,0.0217
15,Bundesliga,Bayern Munich,0,3,2,0,2,4,2,0,0,13,Thomas Müller,0.0217
15,DFB-Pokal,Bayern Munich,0,1,0,0,0,0,0,0,0,1,Thomas Müller,0.0217
14,DFB-Pokal,Bayern Munich,0,1,1,0,2,2,1,0,1,8,Thomas Müller,0.0542
14,Bundesliga,Bayern Munich,0,1,0,0,4,4,3,1,0,13,Thomas Müller,0.0542
14,Champions League,Bayern Munich,1,0,0,0,1,2,1,0,0,5,Thomas Müller,0.0542
13,DFB-Pokal,Bayern Munich,0,0,1,0,0,0,0,0,0,1,Thomas Müller,0.0043
13,Bundesliga,Bayern Munich,1,0,5,0,4,2,1,0,0,13,Thomas Müller,0.0043
13,Champions League,Bayern Munich,0,3,0,0,1,1,3,0,0,8,Thomas Müller,0.0043
13,DFL-Supercup,Bayern Munich,1,0,0,0,0,0,0,0,0,1,Thomas Müller,0.0043
11,Bundesliga,Bayern Munich,5,0,1,0,2,1,2,1,0,12,Thomas Müller,0.0064
11,Champions League,Bayern Munich,0,0,1,0,0,0,2,0,0,3,Thomas Müller,0.0064
11,DFB-Pokal,Bayern Munich,0,0,0,0,0,1,2,0,0,3,Thomas Müller,0.0064
11,DFL-Supercup,Bayern Munich,0,0,0,0,0,1,0,0,0,1,Thomas Müller,0.0064
10,Bundesliga,Bayern Munich,0,5,3,0,1,2,2,0,0,13,Thomas Müller,0.0091
10,DFB-Pokal,Bayern Munich,1,1,0,0,0,1,1,0,0,4,Thomas Müller,0.0091
10,Champions League,Bayern Munich,0,0,0,0,0,0,2,0,0,2,Thomas Müller,0.0091
14,Bundesliga,Bayern Munich,0,1,0,0,1,1,1,0,,4,Bastian Schweinsteiger,0.0057
14,DFB-Pokal,Bayern Munich,0,1,0,0,0,0,0,0,,1,Bastian Schweinsteiger,0.0057
14,Champions League,Bayern Munich,0,0,0,0,1,2,0,0,,3,Bastian Schweinsteiger,0.0057
13,Bundesliga,Bayern Munich,1,2,2,0,2,0,0,0,,7,Bastian Schweinsteiger,0.0043
13,Champions League,Bayern Munich,1,0,1,0,0,0,0,0,,2,Bastian Schweinsteiger,0.0043
11,Bundesliga,Bayern Munich,1,0,1,0,0,1,0,1,,4,Bastian Schweinsteiger,0.005
11,DFB-Pokal,Bayern Munich,0,1,0,0,0,1,0,0,,2,Bastian Schweinsteiger,0.005
11,Champions League,Bayern Munich,0,0,0,0,1,0,1,0,,2,Bastian Schweinsteiger,0.005
10,DFB-Pokal,Bayern Munich,0,0,0,0,0,0,1,0,,1,Bastian Schweinsteiger,0.0075
10,Bundesliga,Bayern Munich,0,0,0,0,2,0,0,0,,2,Bastian Schweinsteiger,0.0075
10,Ligue 1,Stade Rennais FC,3,0,3,1,1,1,2,2,,13,Asamoah Gyan,0.0046
10,Bundesliga,Bayern Munich,1,0,0,0,0,1,1,0,0,3,Miroslav Klose,0.0019
10,Champions League,Bayern Munich,0,0,0,0,0,0,1,0,0,1,Miroslav Klose,0.0019
10,DFB-Pokal,Bayern Munich,1,1,0,0,0,0,0,0,0,2,Miroslav Klose,0.0019
14,Bundesliga,Bayern Munich,0,0,0,0,1,0,0,0,,1,Philipp Lahm,0.029
10,DFB-Pokal,Bayern Munich,0,0,0,0,0,1,0,0,,1,Philipp Lahm,0.0005
11,Champions League,FC Barcelona,0,0,1,0,0,0,0,1,,2,Dani Alves,0.0034
11,LaLiga,FC Barcelona,0,1,0,0,1,0,0,0,,2,Dani Alves,0.0034
10,LaLiga,FC Barcelona,0,2,0,0,1,0,0,0,,3,Dani Alves,0.0005
18,LaLiga,FC Barcelona,4,3,2,0,4,7,5,0,0,25,Luis Suárez Díaz,0.0059
18,Copa del Rey,FC Barcelona,2,0,2,0,0,1,0,0,0,5,Luis Suárez Díaz,0.0059
18,Champions League,FC Barcelona,0,0,0,0,0,0,1,0,0,1,Luis Suárez Díaz,0.0059
17,LaLiga,FC Barcelona,1,5,6,0,6,7,3,0,0,28,Luis Suárez Díaz,0.0096
17,Champions League,FC Barcelona,1,0,0,0,0,1,1,0,0,3,Luis Suárez Díaz,0.0096
17,Copa del Rey,FC Barcelona,1,0,2,0,0,1,0,0,0,4,Luis Suárez Díaz,0.0096
17,Supercopa,FC Barcelona,0,0,0,0,1,0,0,0,0,1,Luis Suárez Díaz,0.0096
16,LaLiga,FC Barcelona,3,4,4,0,9,9,10,1,0,40,Luis Suárez Díaz,0.0584
16,Champions League,FC Barcelona,1,1,1,0,1,3,1,0,0,8,Luis Suárez Díaz,0.0584
16,Copa del Rey,FC Barcelona,2,0,0,0,1,0,2,0,0,5,Luis Suárez Díaz,0.0584
16,Club World Cup,FC Barcelona,0,0,1,0,2,2,0,0,0,5,Luis Suárez Díaz,0.0584
16,UEFA Super Cup,FC Barcelona,0,0,0,0,1,0,0,0,0,1,Luis Suárez Díaz,0.0584
15,Champions League,FC Barcelona,0,3,0,0,0,2,2,0,0,7,Luis Suárez Díaz,0.0371
15,LaLiga,FC Barcelona,2,2,2,1,5,1,1,2,0,16,Luis Suárez Díaz,0.0371
15,Copa del Rey,FC Barcelona,0,0,1,0,0,1,0,0,0,2,Luis Suárez Díaz,0.0371
13,Premier League,Liverpool FC,3,5,3,0,6,4,0,2,0,23,Luis Suárez Díaz,0.0039
13,Europa League,Liverpool FC,0,1,0,0,1,1,0,0,0,3,Luis Suárez Díaz,0.0039
13,FA Cup,Liverpool FC,0,1,0,0,1,0,0,0,0,2,Luis Suárez Díaz,0.0039
13,EFL Cup,Liverpool FC,0,0,0,0,0,0,1,0,0,1,Luis Suárez Díaz,0.0039
13,Europa League Qualifying,Liverpool FC,0,0,0,0,0,0,1,0,0,1,Luis Suárez Díaz,0.0039
11,Premier League,Liverpool FC,0,0,0,0,0,2,2,0,0,4,Luis Suárez Díaz,0.0148
11,KNVB beker,Ajax Amsterdam,0,0,0,0,0,0,1,0,0,1,Luis Suárez Díaz,0.0148
11,Champions League,Ajax Amsterdam,0,0,1,0,0,0,0,0,0,1,Luis Suárez Díaz,0.0148
11,Eredivisie,Ajax Amsterdam,1,0,2,0,2,0,2,0,0,7,Luis Suárez Díaz,0.0148
11,Champions League Qu.,Ajax Amsterdam,1,0,1,0,1,0,0,0,0,3,Luis Suárez Díaz,0.0148
21,Ligue 1,Paris Saint-Germain,1,1,3,1,3,0,0,0,0,9,Neymar,0.0033
21,Coupe de France,Paris Saint-Germain,0,0,0,0,0,1,0,0,0,1,Neymar,0.0033
21,Trophée des Champions,Paris Saint-Germain,0,0,0,0,0,0,1,0,0,1,Neymar,0.0033
21,Champions League,Paris Saint-Germain,2,1,1,0,1,0,0,1,0,6,Neymar,0.0033
18,Ligue 1,Paris Saint-Germain,2,1,5,0,2,3,6,0,0,19,Neymar,0.0066
18,Coupe de la Ligue,Paris Saint-Germain,0,0,0,0,1,0,0,0,0,1,Neymar,0.0066
18,Coupe de France,Paris Saint-Germain,0,1,1,0,0,0,0,0,0,2,Neymar,0.0066
18,Champions League,Paris Saint-Germain,1,2,0,1,0,2,0,0,0,6,Neymar,0.0066
17,Copa del Rey,FC Barcelona,0,1,1,0,1,0,0,0,0,3,Neymar,0.1282
17,LaLiga,FC Barcelona,0,2,3,0,0,4,2,2,0,13,Neymar,0.1282
17,Champions League,FC Barcelona,0,0,0,0,1,0,2,1,0,4,Neymar,0.1282
16,Copa del Rey,FC Barcelona,0,1,0,0,0,0,1,1,1,4,Neymar,0.0437
16,LaLiga,FC Barcelona,0,2,6,0,6,3,6,1,0,24,Neymar,0.0437
16,Champions League,FC Barcelona,0,1,1,0,0,0,1,0,0,3,Neymar,0.0437
15,Champions League,FC Barcelona,3,2,2,0,1,0,0,2,0,10,Neymar,0.0751
15,Copa del Rey,FC Barcelona,2,0,3,0,1,0,1,0,0,7,Neymar,0.0751
15,LaLiga,FC Barcelona,2,4,5,0,2,6,3,0,0,22,Neymar,0.0751
14,Champions League,FC Barcelona,0,0,1,0,2,1,0,0,0,4,Neymar,0.0221
14,LaLiga,FC Barcelona,2,2,1,0,0,3,1,0,0,9,Neymar,0.0221
14,Copa del Rey,FC Barcelona,0,0,0,0,0,0,1,0,0,1,Neymar,0.0221
14,Supercopa,FC Barcelona,0,0,0,0,0,1,0,0,0,1,Neymar,0.0221
13,Copa do Brasil,Santos FC,1,0,0,0,0,0,0,0,0,1,Neymar,0.0317
12,Série A,Santos FC,2,1,3,0,1,4,3,0,0,14,Neymar,0.0061
12,Recopa Sudamericana,Santos FC,0,1,0,0,0,0,0,0,0,1,Neymar,0.0061
12,Libertadores,Santos FC,0,2,2,0,2,1,1,0,0,8,Neymar,0.0061
12,Club World Cup,Santos FC,0,1,0,0,0,0,0,0,0,1,Neymar,0.0061
11,Série A,Santos FC,5,1,2,0,4,1,0,0,0,13,Neymar,0.0112
11,Libertadores,Santos FC,2,0,0,1,3,0,0,0,0,6,Neymar,0.0112
11,Copa del Rey,FC Barcelona,0,0,0,0,0,1,0,0,,1,Éric Abidal,0.0036
23,LaLiga,Real Madrid,3,3,5,1,1,2,3,1,0,19,Karim Benzema,0.0041
23,Champions League,Real Madrid,0,1,0,0,1,1,1,0,0,4,Karim Benzema,0.0041
23,Copa del Rey,Real Madrid,0,0,0,0,2,0,1,0,1,4,Karim Benzema,0.0041
23,Club World Cup,Real Madrid,0,0,0,0,1,0,0,0,0,1,Karim Benzema,0.0041
23,Supercopa,Real Madrid,0,0,1,0,0,0,0,1,0,2,Karim Benzema,0.0041
23,UEFA Super Cup,Real Madrid,0,0,0,0,0,1,0,0,0,1,Karim Benzema,0.0041
22,LaLiga,Real Madrid,3,4,4,0,2,3,9,2,0,27,Karim Benzema,0.369
22,Champions League,Real Madrid,1,2,1,0,2,3,3,1,2,15,Karim Benzema,0.369
22,Supercopa,Real Madrid,0,0,0,0,1,1,0,0,0,2,Karim Benzema,0.369
21,LaLiga,Real Madrid,3,4,3,0,1,4,4,4,0,23,Karim Benzema,0.0879
21,Champions League,Real Madrid,1,2,2,0,0,0,1,0,0,6,Karim Benzema,0.0879
21,Supercopa,Real Madrid,0,0,0,0,0,1,0,0,0,1,Karim Benzema,0.0879
19,LaLiga,Real Madrid,3,2,1,1,7,1,5,1,0,21,Karim Benzema,0.0004
19,Champions League,Real Madrid,1,1,1,0,1,0,0,0,0,4,Karim Benzema,0.0004
19,Copa del Rey,Real Madrid,0,2,1,0,0,0,1,0,0,4,Karim Benzema,0.0004
19,UEFA Super Cup,Real Madrid,0,1,0,0,0,0,0,0,0,1,Karim Benzema,0.0004
18,Champions League,Real Madrid,1,0,1,1,2,0,0,0,0,5,Karim Benzema,0.0021
18,LaLiga,Real Madrid,1,0,2,0,0,0,1,1,0,5,Karim Benzema,0.0021
18,Copa del Rey,Real Madrid,0,0,0,0,1,0,0,0,0,1,Karim Benzema,0.0021
18,Supercopa,Real Madrid,0,0,1,0,0,0,0,0,0,1,Karim Benzema,0.0021
17,LaLiga,Real Madrid,2,3,2,0,1,3,0,0,0,11,Karim Benzema,0.0025
17,Champions League,Real Madrid,0,2,1,0,1,0,1,0,0,5,Karim Benzema,0.0025
17,Copa del Rey,Real Madrid,0,0,0,0,0,0,0,1,0,1,Karim Benzema,0.0025
